title,categoryName,address,city,postalCode,state,phone,website,totalScore,reviewsCount,url,placeId,description,openingHours,emails,engineers,googleAds,onlineBooking,searchString,notes
Redmoor Boiler Care (Demo),Plumber,"180 Queens Road, Bristol",Bristol,BS5 5QQ,Bristol,0117 496 0001,,4.5,41,https://www.google.com/maps/place/?q=place_id:DEMO0010,DEMOPLACE0010,"Gas Safe heating engineers specialising in boiler breakdowns, servicing and central heating upgrades.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,2,no,no,plumber in Bristol,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Ironsgate Plumbing Co (Demo),Heating contractor,"141 Queens Road, Reading",Reading,RG1 4TX,Berkshire,0118 496 0001,https://www.ironsgate-plumbing-co.example.com,4.2,402,https://www.google.com/maps/place/?q=place_id:DEMO0011,DEMOPLACE0011,"Local plumber in Reading for leaks, blockages, bathrooms and general plumbing repairs.","[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",,3,no,no,heating engineer in Reading,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Redmoor Gas & Heating (Demo),Boiler supplier,"38 Park Avenue, Edinburgh",Edinburgh,EH11 4EX,Scotland,0131 496 0001,https://www.redmoor-gas--heating.example.com,4.0,17,https://www.google.com/maps/place/?q=place_id:DEMO0012,DEMOPLACE0012,"Emergency plumbers on call 24 hours a day, 7 days a week. Same-day response across Edinburgh.","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",,2,no,no,boiler repair in Edinburgh,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Quarryhill Plumbing Group (Demo),Plumber,"40 Station Road, Glasgow",Glasgow,G41 7TE,Scotland,0141 496 0001,https://www.quarryhill-plumbing-group.example.com,4.4,288,https://www.google.com/maps/place/?q=place_id:DEMO0013,DEMOPLACE0013,"Gas Safe heating engineers specialising in boiler breakdowns, servicing and central heating upgrades. Open 24 hours for emergencies.","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",,12,no,no,emergency plumber in Glasgow,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Northgate Heating & Gas (Demo),HVAC contractor,"63 High Street, Liverpool",Liverpool,L18 8EE,Merseyside,07700 900185,https://www.northgate-heating--gas.example.com,4.5,41,https://www.google.com/maps/place/?q=place_id:DEMO0014,DEMOPLACE0014,"Emergency plumbers on call 24 hours a day, 7 days a week. Same-day response across Liverpool.","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",,,no,no,plumbing and heating in Liverpool,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Harrowfield Heating Services (Demo),Plumber,"141 Park Avenue, Newcastle upon Tyne",Newcastle upon Tyne,NE6 4PH,Tyne and Wear,07700 900928,,4.8,112,https://www.google.com/maps/place/?q=place_id:DEMO0015,DEMOPLACE0015,"Commercial and domestic heating contractor. Boiler installation, power flushing and landlord certificates. Open 24 hours for emergencies.","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",,2,no,no,plumber in Newcastle upon Tyne,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Oakhurst Plumbing Services (Demo),Heating contractor,"24 Church Way, Cardiff",Cardiff,CF24 3XB,Wales,029 2018 0001,https://www.oakhurst-plumbing-services.example.com,4.5,74,https://www.google.com/maps/place/?q=place_id:DEMO0016,DEMOPLACE0016,"Drainage, plumbing and heating specialists serving Cardiff and the surrounding area.","[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",,4,yes,yes,heating engineer in Cardiff,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Marlow Vale Plumbing Group (Demo),Boiler supplier,"33 Church Way, Bradford",Bradford,BD7 5LS,West Yorkshire,01632 960001,https://www.marlow-vale-plumbing-group.example.com,4.7,74,https://www.google.com/maps/place/?q=place_id:DEMO0017,DEMOPLACE0017,24/7 emergency plumbing and heating callouts across Bradford. Gas Safe registered engineers.,"[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@marlow-vale-plumbing-group.example.com,18,yes,no,boiler repair in Bradford,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Ironsgate Gas & Heating (Demo),Plumber,"186 High Street, Coventry",Coventry,CV1 1AD,West Midlands,01632 960002,https://www.ironsgate-gas--heating.example.com,4.0,41,https://www.google.com/maps/place/?q=place_id:DEMO0018,DEMOPLACE0018,Family-run plumbing and heating company covering Coventry. Emergency callouts available.,"[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,18,no,no,emergency plumber in Coventry,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Fairbourne Gas & Heating (Demo),HVAC contractor,"175 Bridge Street, Derby",Derby,DE22 3FR,Derbyshire,01632 960003,https://www.fairbourne-gas--heating.example.com,4.0,402,https://www.google.com/maps/place/?q=place_id:DEMO0019,DEMOPLACE0019,"Local plumber in Derby for leaks, blockages, bathrooms and general plumbing repairs.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,3,no,no,plumbing and heating in Derby,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Stonebridge Heating Services (Demo),Plumber,"55 Mill Lane, Norwich",Norwich,NR3 6FP,Norfolk,07700 900213,https://www.stonebridge-heating-services.example.com,4.1,112,https://www.google.com/maps/place/?q=place_id:DEMO0020,DEMOPLACE0020,24/7 emergency plumbing and heating callouts across Norwich. Gas Safe registered engineers.,"[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",info@stonebridge-heating-services.example.com,4,no,no,plumber in Norwich,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Thornwick Plumbing & Heating (Demo),Heating contractor,"100 Church Way, Plymouth",Plymouth,PL4 8LR,Devon,01632 960005,https://www.thornwick-plumbing--heating.example.com,4.2,511,https://www.google.com/maps/place/?q=place_id:DEMO0021,DEMOPLACE0021,24/7 emergency plumbing and heating callouts across Plymouth. Gas Safe registered engineers.,"[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@thornwick-plumbing--heating.example.com,12,no,no,heating engineer in Plymouth,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Jubilee Row Heating & Gas (Demo),Boiler supplier,"221 Victoria Road, Southampton",Southampton,SO15 4SN,Hampshire,07700 900763,https://www.jubilee-row-heating--gas.example.com,4.3,112,https://www.google.com/maps/place/?q=place_id:DEMO0022,DEMOPLACE0022,Family-run plumbing and heating company covering Southampton. Emergency callouts available. Open 24 hours for emergencies.,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",,12,no,no,boiler repair in Southampton,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Lintonbury Plumbing Services (Demo),Plumber,"92 Station Road, Brighton",Brighton,BN2 8JD,East Sussex,07700 900462,https://www.lintonbury-plumbing-services.example.com,4.3,74,https://www.google.com/maps/place/?q=place_id:DEMO0023,DEMOPLACE0023,"Commercial and domestic heating contractor. Boiler installation, power flushing and landlord certificates. Open 24 hours for emergencies.","[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",,,yes,no,emergency plumber in Brighton,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Redmoor Plumbing Group (Demo),HVAC contractor,"147 Queens Road, Milton Keynes",Milton Keynes,MK9 6US,Buckinghamshire,01632 960008,https://www.redmoor-plumbing-group.example.com,4.1,56,https://www.google.com/maps/place/?q=place_id:DEMO0024,DEMOPLACE0024,"Commercial and domestic heating contractor. Boiler installation, power flushing and landlord certificates.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@redmoor-plumbing-group.example.com,18,yes,no,plumbing and heating in Milton Keynes,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Ironsgate Plumbing Services (Demo),Plumber,"178 Bridge Street, Stockport",Stockport,SK3 5WH,Greater Manchester,0161 496 0003,https://www.ironsgate-plumbing-services.example.com,4.0,167,https://www.google.com/maps/place/?q=place_id:DEMO0025,DEMOPLACE0025,"Drainage, plumbing and heating specialists serving Stockport and the surrounding area.","[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",info@ironsgate-plumbing-services.example.com,6,no,no,plumber in Stockport,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Redmoor Plumbing Services (Demo),Heating contractor,"33 Park Avenue, London",London,SE1 3SG,Greater London,020 7946 0003,https://www.redmoor-plumbing-services.example.com,4.7,96,https://www.google.com/maps/place/?q=place_id:DEMO0026,DEMOPLACE0026,Family-run plumbing and heating company covering London. Emergency callouts available.,"[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,6,yes,no,heating engineer in London,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Penrose Plumbing Group (Demo),Boiler supplier,"99 Mill Lane, London",London,N4 3LT,Greater London,020 7946 0004,https://www.penrose-plumbing-group.example.com,4.4,316,https://www.google.com/maps/place/?q=place_id:DEMO0027,DEMOPLACE0027,"Boiler repairs, servicing and new boiler installations for domestic customers in London.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@penrose-plumbing-group.example.com,6,no,no,boiler repair in London,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Blackthorn Heating Services (Demo),Plumber,"112 Victoria Road, Manchester",Manchester,M20 1ES,Greater Manchester,0161 496 0004,https://www.blackthorn-heating-services.example.com,4.4,56,https://www.google.com/maps/place/?q=place_id:DEMO0028,DEMOPLACE0028,"Gas Safe heating engineers specialising in boiler breakdowns, servicing and central heating upgrades.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@blackthorn-heating-services.example.com,25,no,no,emergency plumber in Manchester,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Lintonbury Heating Services (Demo),HVAC contractor,"55 Victoria Road, Salford",Salford,M50 9XF,Greater Manchester,07700 900499,https://www.lintonbury-heating-services.example.com,4.2,41,https://www.google.com/maps/place/?q=place_id:DEMO0029,DEMOPLACE0029,24/7 emergency plumbing and heating callouts across Salford. Gas Safe registered engineers.,"[""Monday: 8:30 AM \u2013 5:00 PM"", ""Tuesday: 8:30 AM \u2013 5:00 PM"", ""Wednesday: 8:30 AM \u2013 5:00 PM"", ""Thursday: 8:30 AM \u2013 5:00 PM"", ""Friday: 8:30 AM \u2013 4:30 PM"", ""Saturday: Closed"", ""Sunday: Closed""]",,3,yes,no,plumbing and heating in Salford,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Brookvale Gas & Heating (Demo),Plumber,"226 Church Way, Birmingham",Birmingham,B15 9TN,West Midlands,07700 900978,https://www.brookvale-gas--heating.example.com,4.3,251,https://www.google.com/maps/place/?q=place_id:DEMO0030,DEMOPLACE0030,Family-run plumbing and heating company covering Birmingham. Emergency callouts available.,"[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@brookvale-gas--heating.example.com,3,yes,no,plumber in Birmingham,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Oakhurst Boiler Care (Demo),Heating contractor,"48 Park Avenue, Solihull",Solihull,B91 2ST,West Midlands,0121 496 0004,https://www.oakhurst-boiler-care.example.com,4.4,112,https://www.google.com/maps/place/?q=place_id:DEMO0031,DEMOPLACE0031,"Gas Safe heating engineers specialising in boiler breakdowns, servicing and central heating upgrades.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@oakhurst-boiler-care.example.com,18,no,no,heating engineer in Solihull,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Pinnacle Row Drains & Plumbing (Demo),Boiler supplier,"125 Victoria Road, Leeds",Leeds,LS11 6JN,West Yorkshire,0113 496 0002,,4.8,17,https://www.google.com/maps/place/?q=place_id:DEMO0032,DEMOPLACE0032,"Gas Safe heating engineers specialising in boiler breakdowns, servicing and central heating upgrades.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",,,no,no,boiler repair in Leeds,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Redmoor Drains & Plumbing (Demo),Plumber,"18 Station Road, Sheffield",Sheffield,S11 1BL,South Yorkshire,07700 900550,https://www.redmoor-drains--plumbing.example.com,4.1,23,https://www.google.com/maps/place/?q=place_id:DEMO0033,DEMOPLACE0033,"Commercial and domestic heating contractor. Boiler installation, power flushing and landlord certificates.","[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@redmoor-drains--plumbing.example.com,25,no,yes,emergency plumber in Sheffield,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
Brookvale Heating Services (Demo),HVAC contractor,"54 Park Avenue, Nottingham",Nottingham,NG7 6YA,Nottinghamshire,0115 496 0002,https://www.brookvale-heating-services.example.com,4.5,402,https://www.google.com/maps/place/?q=place_id:DEMO0034,DEMOPLACE0034,24/7 emergency plumbing and heating callouts across Nottingham. Gas Safe registered engineers.,"[""Monday: 8:00 AM \u2013 5:30 PM"", ""Tuesday: 8:00 AM \u2013 5:30 PM"", ""Wednesday: 8:00 AM \u2013 5:30 PM"", ""Thursday: 8:00 AM \u2013 5:30 PM"", ""Friday: 8:00 AM \u2013 5:00 PM"", ""Saturday: 9:00 AM \u2013 1:00 PM"", ""Sunday: Closed""]",info@brookvale-heating-services.example.com,2,no,no,plumbing and heating in Nottingham,Fictional demo record. Phone numbers are from Ofcom's reserved drama/fiction ranges and reach nobody.
